edge_id,user_id,item_id,original_edge_weight,cosine_similarity
175,8,169,0.980677247,0.999040902
176,8,170,0.849111617,0.99934113
177,8,171,0.970078588,0.998469234
178,8,145,0.938814104,0.998806119
179,8,172,0.972676814,0.997431695
180,8,173,0.975664794,0.998937726
181,8,174,0.981726587,0.998454273
182,9,175,0.978854179,0.998255134
183,9,176,0.980327427,0.999239445
184,9,140,0.881500781,0.999317646
185,9,141,0.971093774,0.9990924
186,9,177,0.958578646,0.998675644
187,9,178,0.972034812,0.998996556
188,9,179,0.940933347,0.998774886
189,9,180,0.970526636,0.999679804
190,9,181,0.852796793,0.999153972
191,9,182,0.983313262,0.999475002
192,9,183,0.944948018,0.999150157
193,9,184,0.968691051,0.998660088
194,10,185,0.989775181,0.99881345
195,10,186,0.988681197,0.997879386
196,10,187,0.977175951,0.99755764
197,10,188,0.988142192,0.99732691
198,10,189,0.97571826,0.99682498
199,10,190,0.982100129,0.997027516
200,10,191,0.987751126,0.995473146
201,11,192,0.987542331,0.998662114
202,11,193,0.940828741,0.999233365
203,11,194,0.979135454,0.999594331
204,11,195,0.977363229,0.999480844
205,11,196,0.892632902,0.999691188
206,11,197,0.988998473,0.999045372
207,11,198,0.986287057,0.999006748
208,11,199,0.984143496,0.998993278
209,11,200,0.983115613,0.99770391
210,11,201,0.990093291,0.998682201
211,11,202,0.939798772,0.999395609
212,11,203,0.986191273,0.999376833
213,12,204,0.989549279,0.999845564
214,12,205,0.991353095,0.999844611
215,12,206,0.964986324,0.999207437
216,12,207,0.986211419,0.999789894
217,12,196,0.987626612,0.999803662
218,12,208,0.976661801,0.999796271
219,12,197,0.986777246,0.999463677
220,12,209,0.986551642,0.999852359
221,12,210,0.989959717,0.999461234
222,12,211,0.991089106,0.999396801
223,12,212,0.984429359,0.999231219
224,12,213,0.991333306,0.999024034
225,12,214,0.985585511,0.99958086
226,12,215,0.986568451,0.998836935
227,12,216,0.89214772,0.999694526
228,12,217,0.986844063,0.999685884
229,12,218,0.913906097,0.999453306
230,12,219,0.945180118,0.999608994
231,13,192,0.979845822,0.999687552
232,13,220,0.979153991,0.999776363
233,13,221,0.978281021,0.999866486
234,13,222,0.945860624,0.999921083
235,13,223,0.979575872,0.999727666
