user_id,selected_test_positive_item,test_positive_count,train_degree,listwise_jsd_mean,listwise_jsd_std_across_permutations,original_positive_probability,permuted_positive_probability_mean,positive_probability_change
27,704,4,18,0.0374984256923,0.0152883930132,0.537405729294,0.541390359402,0.00398463010788
28,733,2,3,0.241786971688,0.0543933883309,0.108338080347,0.0566957779229,-0.0516423024237
29,681,2,21,0.0640712752938,0.0115714557469,0.206965968013,0.118460796773,-0.0885051712394
30,7945,16,31,0.0998854413629,0.0262034963816,0.157984733582,0.324312359095,0.166327625513
31,665,5,23,0.0128319337964,0.000839276763145,0.0175295136869,0.0352118425071,0.0176823288202
32,5968,4,10,0.308998227119,0.0280712619424,0.0519086793065,0.151836439967,0.0999277606606
34,628,1,4,0.126611962914,0.0470978692174,0.409902513027,0.0931148305535,-0.316787689924
35,7321,1,4,0.121396772563,0.0245800483972,0.0725150555372,0.051997885108,-0.0205171704292
36,710,5,19,0.0867173299193,0.0615221299231,0.783097803593,0.450977951288,-0.332119852304
37,705,1,12,0.129118338227,0.0426802262664,0.547543883324,0.251208662987,-0.296335220337
38,674,8,28,0.0691543892026,0.0480475537479,0.600074291229,0.382733017206,-0.217341274023
39,5977,6,25,0.0895456448197,0.0301270335913,0.369783401489,0.201871618629,-0.167911782861
40,5969,11,29,0.154929220676,0.0399295426905,0.49018868804,0.182721972466,-0.307466715574
41,681,5,14,0.181610822678,0.0982678756118,0.0551683753729,0.118776261806,0.0636078864336
42,627,7,21,0.274258196354,0.0647994503379,0.771504402161,0.176869988441,-0.594634413719
43,652,6,13,0.0795064941049,0.0350969806314,0.251909673214,0.236699715257,-0.0152099579573
44,620,2,4,0.0859483703971,0.00591722410172,0.123949311674,0.121821574867,-0.00212773680687
45,720,1,1,0.065796174109,0.0188038442284,0.245715290308,0.155041590333,-0.090673699975
46,672,2,4,0.253805041313,0.0274075716734,0.055003888905,0.0166772846133,-0.0383266061544
47,737,2,2,0.120269864798,0.00744847720489,0.410141557455,0.304109245539,-0.106032311916
48,678,2,3,0.227747365832,0.0497985184193,0.394067585468,0.0913554131985,-0.30271217227
49,635,2,2,0.0960292816162,0.0583357140422,0.0710730329156,0.0479346774518,-0.0231383554637
51,629,1,5,0.196996256709,0.0321030989289,0.971493542194,0.460349291563,-0.511144280434
52,619,1,1,0.257677793503,0.106166750193,0.819415748119,0.190736845136,-0.628678917885
53,698,1,4,0.214959546924,0.0488013774157,0.387568920851,0.0595848597586,-0.327984064817
56,734,4,8,0.0695841014385,0.0336349867284,0.250218391418,0.141282483935,-0.108935907483
57,688,2,1,0.180129155517,0.0245970170945,0.0150472205132,0.0101074920967,-0.0049397284165
59,5065,1,2,0.125906452537,0.0048153991811,0.0167107954621,0.0258200392127,0.00910924375057
60,912,17,37,0.0815988704562,0.0288557223976,0.0136779230088,0.00940941646695,-0.00426850654185
61,883,16,70,0.145519331098,0.0156535841525,0.204734042287,0.313085466623,0.108351424336
62,4128,21,62,0.0500725097954,0.00728392647579,0.0232148934156,0.0257726311684,0.0025577377528
63,316,3,9,0.184948042035,0.0335637889802,0.31692224741,0.142002642155,-0.174919605255
64,7492,12,39,0.117293454707,0.0218999497592,0.0121006499976,0.00558699667454,-0.00651365332305
65,490,7,13,0.116647183895,0.00455336179584,0.196717873216,0.0805196240544,-0.116198249161
66,766,16,43,0.108833223581,0.00980440992862,0.047674421221,0.0852685198188,0.0375940985978
67,162,1,7,0.0826728418469,0.0127746779472,0.00638336269185,0.00310335471295,-0.0032800079789
68,3376,11,61,0.139071762562,0.0714140161872,0.00877309776843,0.0653488859534,0.0565757900476
69,161,11,37,0.0893216729164,0.0316792912781,0.192990198731,0.0699140131474,-0.123076185584
70,4463,13,34,0.233918562531,0.105022035539,0.684865355492,0.156312271953,-0.528553068638
71,476,2,9,0.132402703166,0.0556466281414,0.468752741814,0.14608861506,-0.322664141655
72,750,4,5,0.18125833571,0.0160449333489,0.622639775276,0.129277840257,-0.493361949921
73,316,9,39,0.129832699895,0.0484405755997,0.395468145609,0.0914532542229,-0.304014891386
74,278,9,10,0.0894977450371,0.0285324174911,0.216157376766,0.383165717125,0.167008340359
75,4358,5,36,0.182783007622,0.119626663625,0.0340867303312,0.0536981187761,0.0196113884449
76,9057,4,10,0.132001832128,0.0236978773028,0.352470189333,0.109292827547,-0.243177354336
77,749,2,5,0.0740438625216,0.0167058035731,0.068159148097,0.0559008233249,-0.0122583247721
78,750,2,5,0.268582671881,0.0599520616233,0.673448622227,0.063799329102,-0.609649300575
79,5757,3,10,0.139654844999,0.0389232076705,0.00796902086586,0.00904425326735,0.00107523240149
80,8279,2,4,0.101769387722,0.0328083410859,0.0316665433347,0.0166523847729,-0.0150141585618
81,9024,1,5,0.117182217538,0.0256459154189,0.00404539192095,0.0081987855956,0.00415339367464
82,340,4,2,0.149814233184,0.0781786963344,0.638695538044,0.248492121696,-0.390203416348
83,4481,3,20,0.0968749299645,0.0152911040932,0.00262628542259,0.00630038930103,0.00367410387844
84,844,3,21,0.0709210038185,0.0176479611546,0.181875944138,0.102273128927,-0.0796028152108
85,165,11,39,0.0513270907104,0.0031712227501,0.149317279458,0.0909022092819,-0.0584150701761
86,3039,5,7,0.282541632652,0.0979909896851,0.871611177921,0.215170919895,-0.656440258026
87,865,8,20,0.257727175951,0.0999715253711,0.857961773872,0.216398477554,-0.641563296318
